,img_date,img_path,short_term_span,short_term,long_term,nn_short_term_span,nn_short_term,nn_long_term,models agree
0,2021-11-04 08:01:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/test_11-04-2021_0801.png,1.0,2.91,3.67,1.0,2.91,3.67,True
1,2021-11-04 09:02:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/test_11-04-2021_0902.png,7.0,4.1,3.67,7.0,4.1,3.67,True
2,2021-11-04 10:03:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/test_11-04-2021_1003.png,1.0,2.94,3.67,1.0,2.94,3.67,True
3,2021-11-04 11:04:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/test_11-04-2021_1104.png,1.0,3.0,3.67,1.0,3.0,3.67,True
4,2021-11-04 12:05:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/test_11-04-2021_1205.png,7.0,4.1,3.67,7.0,4.1,3.67,True
5,2021-11-04 13:06:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/test_11-04-2021_1306.png,1.0,2.72,3.67,1.0,2.72,3.67,True
6,2021-11-04 14:07:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/test_11-04-2021_1407.png,7.0,4.1,3.67,7.0,4.1,3.67,True
7,2021-11-04 15:08:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/test_11-04-2021_1508.png,7.0,3.81,3.64,7.0,3.81,3.64,True
8,2021-11-04 16:09:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/test_11-04-2021_1609.png,1.0,2.67,3.64,1.0,2.67,3.64,True
9,2021-11-04 22:40:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-04-2021_2240.png,1.0,2.18,3.64,1.0,2.18,3.64,True
10,2021-11-04 23:41:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-04-2021_2341.png,7.0,3.81,3.64,7.0,3.81,3.64,True
11,2021-11-05 00:42:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_0042.png,7.0,3.81,3.64,7.0,3.81,3.64,True
12,2021-11-05 01:43:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_0143.png,1.0,3.18,3.64,1.0,3.18,3.64,True
13,2021-11-05 02:44:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_0244.png,1.0,3.94,3.64,1.0,3.94,3.64,True
14,2021-11-05 03:45:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_0345.png,7.0,3.81,3.64,7.0,3.81,3.64,True
15,2021-11-05 04:46:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_0446.png,7.0,3.81,3.64,7.0,3.81,3.64,True
16,2021-11-05 05:47:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_0547.png,1.0,5.72,3.64,1.0,5.72,3.64,True
17,2021-11-05 06:48:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_0648.png,7.0,3.81,3.64,7.0,3.81,3.64,True
18,2021-11-05 07:49:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_0749.png,1.0,6.05,3.64,1.0,6.05,3.64,True
19,2021-11-05 08:50:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_0850.png,7.0,3.81,3.64,7.0,3.81,3.64,True
20,2021-11-05 09:51:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_0951.png,7.0,3.81,3.64,7.0,3.81,3.64,True
21,2021-11-05 10:52:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_1052.png,1.0,6.13,3.64,1.0,6.13,3.64,True
22,2021-11-05 11:52:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_1152.png,7.0,3.81,3.64,7.0,3.81,3.64,True
23,2021-11-05 12:53:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_1253.png,1.0,6.67,3.64,1.0,6.67,3.64,True
24,2021-11-05 13:54:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_1354.png,1.0,6.64,3.64,1.0,6.64,3.64,True
