,STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,month,year
0,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-01,0.0,0.0,0.0,41.0,29.0,36.0,1,2000
1,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-02,0.03,0.0,0.0,47.0,34.0,45.0,1,2000
2,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-03,0.0,0.0,0.0,59.0,34.0,35.0,1,2000
3,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-04,0.29,0.6,1.0,36.0,25.0,26.0,1,2000
4,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-05,0.0,0.0,1.0,29.0,11.0,11.0,1,2000
5,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-06,0.0,0.0,1.0,27.0,11.0,27.0,1,2000
6,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-07,0.0,0.0,0.0,41.0,19.0,19.0,1,2000
7,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-08,0.0,0.0,0.0,33.0,17.0,32.0,1,2000
8,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-09,0.07,0.0,0.0,47.0,32.0,37.0,1,2000
9,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-10,0.28,0.0,0.0,41.0,37.0,40.0,1,2000
10,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-11,0.0,0.0,0.0,45.0,31.0,32.0,1,2000
11,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-12,0.0,0.0,0.0,37.0,24.0,24.0,1,2000
12,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-13,0.07,0.8,1.0,33.0,23.0,23.0,1,2000
13,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-14,0.0,0.0,1.0,27.0,5.0,6.0,1,2000
14,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-15,0.0,0.0,0.0,28.0,6.0,28.0,1,2000
15,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-16,0.0,0.0,0.0,40.0,27.0,29.0,1,2000
16,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-17,0.0,0.0,0.0,29.0,21.0,21.0,1,2000
17,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-18,0.07,0.8,1.0,23.0,19.0,23.0,1,2000
18,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-19,0.0,0.0,1.0,35.0,9.0,11.0,1,2000
19,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-20,0.24,3.1,4.0,27.0,6.0,6.0,1,2000
20,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-21,0.0,0.0,3.0,14.0,-5.0,-5.0,1,2000
21,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-22,0.03,0.6,4.0,12.0,-5.0,11.0,1,2000
22,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-23,0.02,0.4,4.0,26.0,11.0,12.0,1,2000
23,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-24,0.0,0.0,4.0,16.0,-6.0,-6.0,1,2000
24,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-25,0.01,0.3,3.0,18.0,-6.0,10.0,1,2000
25,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-26,0.0,0.0,3.0,23.0,5.0,5.0,1,2000
26,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-27,0.0,0.0,3.0,22.0,5.0,9.0,1,2000
27,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-28,0.0,0.0,3.0,28.0,5.0,18.0,1,2000
28,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-29,0.0,0.0,2.0,33.0,11.0,12.0,1,2000
29,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-30,0.15,2.1,4.0,28.0,11.0,25.0,1,2000
30,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-01-31,0.1,1.2,5.0,32.0,12.0,12.0,1,2000
31,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-01,0.0,0.0,5.0,25.0,12.0,25.0,2,2000
32,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-02,0.0,0.0,5.0,31.0,9.0,9.0,2,2000
33,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-03,0.0,0.0,5.0,32.0,9.0,29.0,2,2000
34,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-04,0.0,0.0,5.0,36.0,26.0,27.0,2,2000
35,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-05,0.0,0.2,5.0,31.0,14.0,15.0,2,2000
36,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-06,0.0,0.0,4.0,30.0,12.0,15.0,2,2000
37,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-07,0.0,0.0,4.0,34.0,15.0,23.0,2,2000
38,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-08,0.0,0.0,4.0,36.0,7.0,12.0,2,2000
39,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-09,0.0,0.0,4.0,39.0,12.0,37.0,2,2000
40,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-10,0.0,0.0,1.0,47.0,33.0,35.0,2,2000
41,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-11,0.0,0.0,1.0,39.0,21.0,21.0,2,2000
42,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-12,0.0,0.0,1.0,29.0,9.0,9.0,2,2000
43,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-13,0.01,0.2,1.0,33.0,9.0,28.0,2,2000
44,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-14,0.12,1.2,2.0,31.0,23.0,23.0,2,2000
45,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-15,0.0,0.0,1.0,35.0,16.0,27.0,2,2000
46,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-16,0.0,0.0,0.0,42.0,24.0,24.0,2,2000
47,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-17,0.0,0.0,0.0,34.0,14.0,18.0,2,2000
48,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-18,0.19,1.9,2.0,36.0,18.0,29.0,2,2000
49,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-19,0.52,6.2,8.0,30.0,24.0,24.0,2,2000
50,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-20,0.0,0.0,8.0,32.0,23.0,24.0,2,2000
51,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-21,0.0,0.0,6.0,35.0,21.0,31.0,2,2000
52,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-22,0.0,0.0,1.0,46.0,31.0,43.0,2,2000
53,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-23,0.0,0.0,0.0,57.0,42.0,50.0,2,2000
54,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-24,0.11,0.0,0.0,65.0,49.0,52.0,2,2000
55,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-25,0.36,0.0,0.0,55.0,39.0,44.0,2,2000
56,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-26,0.0,0.0,0.0,71.0,44.0,58.0,2,2000
57,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-27,0.13,0.0,0.0,63.0,41.0,41.0,2,2000
58,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-28,0.0,0.0,0.0,51.0,29.0,30.0,2,2000
59,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-02-29,0.0,0.0,0.0,56.0,30.0,46.0,2,2000
60,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-01,0.03,0.0,0.0,64.0,42.0,42.0,3,2000
61,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-02,0.0,0.0,0.0,49.0,27.0,27.0,3,2000
62,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-03,0.0,0.0,0.0,41.0,20.0,24.0,3,2000
63,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-04,0.0,0.0,0.0,49.0,24.0,35.0,3,2000
64,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-05,0.0,0.0,0.0,63.0,35.0,43.0,3,2000
65,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-06,0.0,0.0,0.0,69.0,31.0,35.0,3,2000
66,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-07,0.0,0.0,0.0,70.0,35.0,54.0,3,2000
67,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-08,0.0,0.0,0.0,78.0,54.0,57.0,3,2000
68,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-09,0.03,0.0,0.0,76.0,47.0,47.0,3,2000
69,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-10,0.0,0.0,0.0,47.0,24.0,25.0,3,2000
70,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-11,0.0,0.0,0.0,32.0,24.0,25.0,3,2000
71,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-12,0.0,0.0,0.0,36.0,19.0,27.0,3,2000
72,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-13,0.0,0.0,0.0,48.0,27.0,38.0,3,2000
73,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-14,0.0,0.0,0.0,42.0,33.0,35.0,3,2000
74,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-15,0.0,0.0,0.0,56.0,35.0,41.0,3,2000
75,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-16,0.11,0.0,0.0,63.0,26.0,27.0,3,2000
76,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-17,0.0,0.0,0.0,37.0,22.0,28.0,3,2000
77,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-18,0.0,0.1,0.0,37.0,19.0,28.0,3,2000
78,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-19,0.0,0.0,0.0,41.0,28.0,36.0,3,2000
79,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-20,0.71,0.0,0.0,43.0,34.0,43.0,3,2000
80,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-21,0.03,0.0,0.0,50.0,43.0,45.0,3,2000
81,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-22,0.0,0.0,0.0,53.0,42.0,46.0,3,2000
82,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-23,0.0,0.0,0.0,58.0,38.0,43.0,3,2000
83,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-24,0.0,0.0,0.0,61.0,43.0,48.0,3,2000
84,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-25,0.15,0.0,0.0,68.0,47.0,48.0,3,2000
85,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-26,0.0,0.0,0.0,60.0,37.0,41.0,3,2000
86,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-27,0.04,0.0,0.0,67.0,38.0,41.0,3,2000
87,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-28,0.02,0.0,0.0,55.0,32.0,35.0,3,2000
88,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-29,0.01,0.0,0.0,46.0,26.0,31.0,3,2000
89,USC00115961,"MUNDELEIN 4 WSW, IL US",2000-03-30,0.0,0.0,0.0,51.0,25.0,32.0,3,2000
