,date,position,coordinates
0,11/01/2021,short_term_0,"{'trow': 540, 'brow': 790, 'lcol': 560, 'rcol': 660}"
1,11/01/2021,short_term_span,"{'trow': 540, 'brow': 620, 'lcol': 280, 'rcol': 360}"
2,11/01/2021,short_term_2,"{'trow': 540, 'brow': 790, 'lcol': 770, 'rcol': 870}"
3,11/01/2021,short_term_1,"{'trow': 540, 'brow': 790, 'lcol': 670, 'rcol': 770}"
4,11/01/2021,long_term_2,"{'trow': 50, 'brow': 320, 'lcol': 735, 'rcol': 915}"
5,11/01/2021,long_term_1,"{'trow': 50, 'brow': 320, 'lcol': 560, 'rcol': 740}"
6,11/01/2021,long_term_0,"{'trow': 50, 'brow': 320, 'lcol': 400, 'rcol': 580}"
7,11/23/2021,long_term_0,"{'trow': 50, 'brow': 320, 'lcol': 360, 'rcol': 540}"
8,11/23/2021,short_term_2,"{'trow': 540, 'brow': 790, 'lcol': 730, 'rcol': 830}"
9,11/23/2021,short_term_1,"{'trow': 540, 'brow': 790, 'lcol': 630, 'rcol': 730}"
10,11/23/2021,short_term_0,"{'trow': 540, 'brow': 790, 'lcol': 530, 'rcol': 630}"
11,11/23/2021,long_term_2,"{'trow': 50, 'brow': 320, 'lcol': 700, 'rcol': 880}"
12,11/23/2021,long_term_1,"{'trow': 50, 'brow': 320, 'lcol': 530, 'rcol': 710}"
13,11/23/2021,short_term_span,"{'trow': 540, 'brow': 620, 'lcol': 240, 'rcol': 320}"
14,12/12/2021,short_term_2,"{'trow': 540, 'brow': 790, 'lcol': 710, 'rcol': 810}"
15,12/12/2021,long_term_0,"{'trow': 50, 'brow': 320, 'lcol': 360, 'rcol': 540}"
16,12/12/2021,long_term_1,"{'trow': 50, 'brow': 320, 'lcol': 530, 'rcol': 710}"
17,12/12/2021,long_term_2,"{'trow': 50, 'brow': 320, 'lcol': 700, 'rcol': 880}"
18,12/12/2021,short_term_0,"{'trow': 540, 'brow': 790, 'lcol': 505, 'rcol': 605}"
19,12/12/2021,short_term_1,"{'trow': 540, 'brow': 790, 'lcol': 610, 'rcol': 710}"
20,12/12/2021,short_term_span,"{'trow': 535, 'brow': 605, 'lcol': 220, 'rcol': 300}"
