"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00115961","MUNDELEIN 4 WSW, IL US","2022-01-07","0.00","0.0","2.0","14","-5","-5"
"USC00115961","MUNDELEIN 4 WSW, IL US","2022-01-08","0.00","0.0","2.0","17","-5","14"
"USC00115961","MUNDELEIN 4 WSW, IL US","2022-01-09","0.03","0.0","1.0","31","14","27"
"USC00115961","MUNDELEIN 4 WSW, IL US","2022-01-10","0.00","0.0","1.0","27","7","9"
"USC00115961","MUNDELEIN 4 WSW, IL US","2022-01-11","0.00","0.0","1.0","11","-4","3"
"USC00115961","MUNDELEIN 4 WSW, IL US","2022-01-12","0.00","0.0","1.0","37","3","32"
"USC00115961","MUNDELEIN 4 WSW, IL US","2022-01-13","0.00","0.0","0.0","42","29","32"
"USC00115961","MUNDELEIN 4 WSW, IL US","2022-01-14","0.00","0.0","0.0","40","28","28"
"US1ILLK0054","MUNDELEIN 0.5 NNE, IL US","2022-01-07","0.00","0.0",,,,
"US1ILLK0054","MUNDELEIN 0.5 NNE, IL US","2022-01-08","0.00","0.0",,,,
"US1ILLK0054","MUNDELEIN 0.5 NNE, IL US","2022-01-09","0.00",,"0.0",,,
"US1ILLK0054","MUNDELEIN 0.5 NNE, IL US","2022-01-10","0.00",,,,,
"US1ILLK0054","MUNDELEIN 0.5 NNE, IL US","2022-01-12","0.00","0.0",,,,
"US1ILLK0054","MUNDELEIN 0.5 NNE, IL US","2022-01-13","0.00","0.0",,,,
"US1ILLK0074","MUNDELEIN 1.6 WNW, IL US","2022-01-07","0.00","0.0",,,,
"US1ILLK0074","MUNDELEIN 1.6 WNW, IL US","2022-01-08","0.00","0.0",,,,
"US1ILLK0074","MUNDELEIN 1.6 WNW, IL US","2022-01-09","0.02","0.0",,,,
"US1ILLK0074","MUNDELEIN 1.6 WNW, IL US","2022-01-10","0.00","0.0",,,,
"US1ILLK0074","MUNDELEIN 1.6 WNW, IL US","2022-01-11","0.00","0.0",,,,
"US1ILLK0074","MUNDELEIN 1.6 WNW, IL US","2022-01-12","0.00","0.0",,,,
"US1ILLK0074","MUNDELEIN 1.6 WNW, IL US","2022-01-13","0.00","0.0",,,,
