"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-01",,,"0.00","0.0","0.0","41","29","36",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-02",,,"0.03","0.0","0.0","47","34","45",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-03",,,"0.00","0.0","0.0","59","34","35",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-04",,,"0.29","0.6","1.0","36","25","26",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-05",,,"0.00","0.0","1.0","29","11","11",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-06",,,"0.00","0.0","1.0","27","11","27",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-07",,,"0.00","0.0","0.0","41","19","19",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-08",,,"0.00","0.0","0.0","33","17","32",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-09",,,"0.07","0.0","0.0","47","32","37",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-10",,,"0.28","0.0","0.0","41","37","40",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-11",,,"0.00","0.0","0.0","45","31","32",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-12",,,"0.00","0.0","0.0","37","24","24",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-13",,,"0.07","0.8","1.0","33","23","23",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-14",,,"0.00","0.0","1.0","27","5","6",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-15",,,"0.00","0.0","0.0","28","6","28",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-16",,,"0.00","0.0","0.0","40","27","29",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-17",,,"0.00","0.0","0.0","29","21","21",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-18",,,"0.07","0.8","1.0","23","19","23",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-19",,,"0.00","0.0","1.0","35","9","11",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-20",,,"0.24","3.1","4.0","27","6","6",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-21",,,"0.00","0.0","3.0","14","-5","-5",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-22",,,"0.03","0.6","4.0","12","-5","11",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-23",,,"0.02","0.4","4.0","26","11","12",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-24",,,"0.00","0.0","4.0","16","-6","-6",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-25",,,"0.01","0.3","3.0","18","-6","10",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-26",,,"0.00","0.0","3.0","23","5","5",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-27",,,"0.00","0.0","3.0","22","5","9",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-28",,,"0.00","0.0","3.0","28","5","18",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-29",,,"0.00","0.0","2.0","33","11","12",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-30",,,"0.15","2.1","4.0","28","11","25",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-01-31",,,"0.10","1.2","5.0","32","12","12",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-01",,,"0.00","0.0","5.0","25","12","25",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-02",,,"0.00","0.0","5.0","31","9","9",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-03",,,"0.00","0.0","5.0","32","9","29",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-04",,,"0.00","0.0","5.0","36","26","27",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-05",,,"0.00","0.2","5.0","31","14","15",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-06",,,"0.00","0.0","4.0","30","12","15",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-07",,,"0.00","0.0","4.0","34","15","23",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-08",,,"0.00","0.0","4.0","36","7","12",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-09",,,"0.00","0.0","4.0","39","12","37",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-10",,,"0.00","0.0","1.0","47","33","35",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-11",,,"0.00","0.0","1.0","39","21","21",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-12",,,"0.00","0.0","1.0","29","9","9",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-13",,,"0.01","0.2","1.0","33","9","28",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-14",,,"0.12","1.2","2.0","31","23","23",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-15",,,"0.00","0.0","1.0","35","16","27",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-16",,,"0.00","0.0","0.0","42","24","24",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-17",,,"0.00","0.0","0.0","34","14","18",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-18",,,"0.19","1.9","2.0","36","18","29",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-19",,,"0.52","6.2","8.0","30","24","24",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-20",,,"0.00","0.0","8.0","32","23","24",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-21",,,"0.00","0.0","6.0","35","21","31",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-22",,,"0.00","0.0","1.0","46","31","43",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-23",,,"0.00","0.0","0.0","57","42","50",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-24",,,"0.11","0.0","0.0","65","49","52",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-25",,,"0.36","0.0","0.0","55","39","44",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-26",,,"0.00","0.0","0.0","71","44","58",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-27",,,"0.13","0.0","0.0","63","41","41",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-28",,,"0.00","0.0","0.0","51","29","30",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-02-29",,,"0.00","0.0","0.0","56","30","46",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-01",,,"0.03","0.0","0.0","64","42","42",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-02",,,"0.00","0.0","0.0","49","27","27",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-03",,,"0.00","0.0","0.0","41","20","24",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-04",,,"0.00","0.0","0.0","49","24","35",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-05",,,"0.00","0.0","0.0","63","35","43",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-06",,,"0.00","0.0","0.0","69","31","35",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-07",,,"0.00","0.0","0.0","70","35","54",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-08",,,"0.00","0.0","0.0","78","54","57",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-09",,,"0.03","0.0","0.0","76","47","47",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-10",,,"0.00","0.0","0.0","47","24","25",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-11",,,"0.00","0.0","0.0","32","24","25",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-12",,,"0.00","0.0","0.0","36","19","27",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-13",,,"0.00","0.0","0.0","48","27","38",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-14",,,"0.00","0.0","0.0","42","33","35",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-15",,,"0.00","0.0","0.0","56","35","41",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-16",,,"0.11","0.0","0.0","63","26","27",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-17",,,"0.00","0.0","0.0","37","22","28",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-18",,,"0.00","0.1","0.0","37","19","28",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-19",,,"0.00","0.0","0.0","41","28","36",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-20",,,"0.71","0.0","0.0","43","34","43",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-21",,,"0.03","0.0","0.0","50","43","45",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-22",,,"0.00","0.0","0.0","53","42","46",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-23",,,"0.00","0.0","0.0","58","38","43",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-24",,,"0.00","0.0","0.0","61","43","48",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-25",,,"0.15","0.0","0.0","68","47","48",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-26",,,"0.00","0.0","0.0","60","37","41",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-27",,,"0.04","0.0","0.0","67","38","41",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-28",,,"0.02","0.0","0.0","55","32","35",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-29",,,"0.01","0.0","0.0","46","26","31",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-30",,,"0.00","0.0","0.0","51","25","32",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-03-31",,,"0.00","0.0","0.0","54","27","39",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-01",,,"0.00","0.0","0.0","64","39","49",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-02",,,"0.04","0.0","0.0","56","43","43",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-03",,,"0.00","0.0","0.0","59","43","46",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-04",,,"0.00","0.0","0.0","60","32","33",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-05",,,"0.00","0.0","0.0","46","28","31",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-06",,,"0.00","0.0","0.0","64","31","44",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-07",,,"0.00","0.0","0.0","62","42","42",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-08",,,"0.63","1.3","1.0","42","25","25",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-09",,,"0.00","0.0","0.0","40","25","37",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-10",,,"0.00","0.0","0.0","57","33","34",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-11",,,"0.07","0.0","0.0","38","31","35",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-12",,,"0.00","0.0","0.0","38","28","30",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-13",,,"0.00","0.0","0.0","50","30","38",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-14",,,"0.00","0.0","0.0","62","38","48",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-15",,,"0.00","0.0","0.0","77","48","54",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-16",,,"0.00","0.0","0.0","73","38","39",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-17",,,"0.90","0.0","0.0","47","38","38",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-18",,,"0.00","0.0","0.0","41","38","41",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-19",,,"0.00","0.0","0.0","54","41","45",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-20",,,"1.60","0.0","0.0","53","45","51",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-21",,,"1.24","0.0","0.0","67","38","38",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-22",,,"0.00","0.0","0.0","56","31","36",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-23",,,"0.02","0.0","0.0","67","36","46",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-24",,,"0.03","0.0","0.0","52","39","43",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-25",,,"0.00","0.0","0.0","64","34","40",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-26",,,"0.00","0.0","0.0","62","33","39",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-27",,,"0.00","0.0","0.0","66","39","46",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-28",,,"0.00","0.0","0.0","69","35","42",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-29",,,"0.00","0.0","0.0","72","40","42",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-04-30",,,"0.00","0.0","0.0","59","35","41",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-01",,,"0.01","0.0","0.0","72","41","56",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-02",,,"0.25","0.0","0.0","67","40","46",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-03",,,"0.00","0.0","0.0","69","46","58",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-04",,,"0.00","0.0","0.0","78","58","64",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-05",,,"0.00","0.0","0.0","81","62","65",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-06",,,"0.00","0.0","0.0","85","64","66",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-07",,,"0.00","0.0","0.0","86","65","66",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-08",,,"0.11","0.0","0.0","79","66","68",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-09",,,"0.36","0.0","0.0","86","61","61",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-10",,,"0.82","0.0","0.0","63","42","49",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-11",,,"0.00","0.0","0.0","65","49","59",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-12",,,"0.62","0.0","0.0","75","57","74",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-13",,,"0.00","0.0","0.0","83","47","48",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-14",,,"0.00","0.0","0.0","56","39","44",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-15",,,"0.00","0.0","0.0","62","42","47",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-16",,,"0.00","0.0","0.0","71","47","58",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-17",,,"0.20","0.0","0.0","67","48","54",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-18",,,"0.49","0.0","0.0","67","53","54",,,"    1","    1",,"    1",,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-19",,,"1.97","0.0","0.0","54","44","44",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-20",,,"0.00","0.0","0.0","49","44","46",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-05-21",,,"0.00","0.0","0.0","63","46","51",,,,,,,,
